tconst	directors	writers
tt9891454	nm0801543	nm1729348,nm1754541,nm1699094,nm1729447
tt9891456	\N	\N
tt9891458	nm0801543	nm1729348,nm1754541,nm1699094,nm1729447
tt9891460	nm0801543	nm1729348,nm1754541,nm1699094,nm1729447
tt9891462	nm0801543	nm1729348,nm1754541,nm1699094,nm1729447
tt9891464	nm0801543	nm1729348,nm1754541,nm1699094,nm1729447
tt9891466	\N	\N
tt9891470	nm0801543	nm1729348,nm1754541,nm1699094,nm1729447
tt9891472	nm0801543	nm1729348,nm1754541,nm1699094,nm1729447
tt9891474	nm0801543	nm1729348,nm1754541,nm1699094,nm1729447
tt9891476	\N	\N
tt9891478	nm0801543	nm1729348,nm1754541,nm1699094,nm1729447
tt9891482	\N	\N
tt9891484	nm0801543	nm1729348,nm1754541,nm1699094,nm1729447
tt9891486	nm0801543	nm1729348,nm1754541,nm1699094,nm1729447
tt9891488	nm0801543	nm1729348,nm1729349,nm1754541,nm1699094,nm1729447
tt9891490	nm0801543	nm1729348,nm1729349,nm1754541,nm1699094,nm1729447
tt9891492	nm0801543	nm1729348,nm1729349,nm1754541,nm1699094,nm1729447
tt9891494	nm0801543	nm1729348,nm1729349,nm1754541,nm1699094,nm1729447
tt9891496	nm0470230,nm0484717	nm0117676,nm0117679,nm0989980,nm7823466,nm1569195,nm4699774,nm5551793,nm0460161,nm10455569,nm0373839,nm0973552
tt9891498	nm0393257	nm0748634
tt9891500	\N	\N
tt9891502	\N	\N
tt9891504	\N	\N
tt9891506	\N	\N
tt9891508	\N	\N
tt9891510	nm0062879	\N
tt9891512	nm0355961	nm1007597,nm1480454
tt9891514	nm5206495	\N
tt9891516	nm5556378	\N
tt9891518	\N	\N
tt9891520	\N	\N
tt9891522	nm5646734	nm10525088,nm2535350,nm10525087
tt9891524	nm4035324	nm1571117,nm4188148,nm6672397,nm5322018,nm5670417,nm7738529
tt9891526	\N	\N
tt9891528	\N	\N
tt9891534	\N	\N
tt9891536	\N	\N
tt9891538	\N	\N
tt9891542	nm0062879	\N
tt9891544	\N	\N
tt9891546	nm5646734	nm10525088,nm2535350,nm10525087
tt9891548	\N	\N
tt9891550	\N	\N
tt9891552	nm2309966	nm2309966
tt9891554	nm0062879	\N
tt9891556	nm5905564	nm10527472,nm10527471
tt9891558	nm0062879	\N
tt9891560	nm0062879	\N
tt9891562	nm0062879	\N
tt9891564	nm0062879	\N
tt9891566	nm0062879	\N
tt9891568	nm0062879	\N
tt9891570	nm0062879	\N
tt9891572	nm0062879	\N
tt9891574	nm0062879	\N
tt9891576	nm0062879	\N
tt9891578	nm0062879	\N
tt9891580	nm0062879	\N
tt9891582	nm0062879	\N
tt9891584	nm0062879	\N
tt9891586	nm0062879	\N
tt9891588	nm0062879	\N
tt9891592	nm0062879	\N
tt9891594	nm0062879	\N
tt9891596	nm5646734	nm10525088,nm2535350,nm10525087
tt9891598	\N	\N
tt9891602	\N	\N
tt9891604	nm5646734	nm10525088,nm2535350,nm10525087
tt9891606	nm2379770	nm10525133
tt9891608	nm2862048	nm2862048
tt9891612	\N	\N
tt9891614	nm10604490	\N
tt9891616	nm10604490	\N
tt9891618	\N	\N
tt9891620	\N	\N
tt9891622	\N	\N
tt9891624	\N	\N
tt9891626	\N	\N
tt9891628	\N	\N
tt9891630	\N	\N
tt9891632	\N	\N
tt9891634	\N	\N
tt9891636	\N	\N
tt9891638	\N	\N
tt9891640	nm0770643	nm0770643
tt9891642	\N	\N
tt9891644	\N	\N
tt9891646	\N	\N
tt9891648	\N	\N
tt9891650	\N	\N
tt9891652	\N	\N
tt9891654	\N	\N
tt9891656	\N	\N
tt9891658	\N	\N
tt9891660	nm5646734	nm10525088,nm2535350,nm10525087
tt9891662	\N	\N
tt9891664	\N	\N
tt9891666	\N	\N
tt9891668	\N	\N
tt9891672	nm10604490	\N
tt9891674	nm10604490	\N
tt9891676	nm10604490	\N
tt9891678	nm10604490	\N
tt9891680	nm10604490	\N
tt9891682	nm5646734	nm10525088,nm2535350,nm10525087
tt9891684	nm10604490	\N
tt9891686	nm10604490	\N
tt9891688	nm9466299	\N
tt9891690	nm10604490	\N
tt9891692	nm10604490	\N
tt9891694	nm10604490	\N
tt9891696	nm10604490	\N
tt9891700	nm5646734	nm10525088,nm2535350,nm10525087
tt9891702	nm10527562	\N
tt9891704	nm5646734	nm10525088,nm2535350,nm10525087
tt9891706	nm4195982	nm4195982
tt9891708	nm0355961	nm1007597
tt9891710	nm6100846,nm3933920	nm6105677,nm6105676
tt9891714	nm1542079	nm2691201,nm3362189,nm2891978,nm7738527,nm4311463,nm2771158
tt9891716	nm3933920,nm6100846	nm6105677,nm6105676
tt9891718	nm6100846,nm3933920	nm6105677,nm6105676
tt9891720	nm3933920,nm6100846	nm6105677,nm6105676
tt9891722	nm5646734	nm10525088,nm2535350,nm10525087
tt9891724	nm3933920,nm6100846	nm6105677,nm6105676
tt9891726	nm3933920,nm6100846	nm6105677,nm6105676
tt9891728	nm3933920,nm6100846	nm6105677,nm6105676
tt9891730	nm3933920,nm6100846	nm6105677,nm6105676
tt9891732	nm6100846,nm3933920	nm6105677,nm6105676
tt9891734	nm6100846,nm3933920	nm6105677,nm6105676
tt9891736	nm3933920,nm6100846	nm6105677,nm6105676
tt9891738	\N	\N
tt9891740	nm3933920,nm6100846	nm6105677,nm6105676
tt9891742	nm3933920,nm6100846	nm6105677,nm6105676
tt9891744	nm6100846,nm3933920	nm6105677,nm6105676
tt9891746	nm6100846,nm3933920	nm6105677,nm6105676
tt9891748	nm3933920,nm6100846	nm6105677,nm6105676
tt9891750	nm6100846,nm3933920	nm6105677,nm6105676
tt9891752	nm3933920,nm6100846	nm6105677,nm6105676
tt9891754	nm3933920,nm6100846	nm6105677,nm6105676
tt9891756	nm6100846,nm3933920	nm6105677,nm6105676
tt9891758	nm6100846,nm3933920	nm6105677,nm6105676
tt9891760	\N	\N
tt9891764	nm3016884	\N
tt9891766	\N	\N
tt9891770	\N	\N
tt9891772	\N	\N
tt9891776	nm5646734	nm10525088,nm2535350,nm10525087
tt9891778	\N	\N
tt9891780	\N	\N
tt9891782	nm6515289,nm5842181	nm5842181,nm9767942
tt9891784	\N	nm6642452,nm7053951
tt9891786	\N	\N
tt9891788	nm1518236	nm1518236
tt9891790	nm4126500	nm4126500
tt9891794	\N	\N
tt9891798	\N	\N
tt9891802	\N	\N
tt9891804	\N	\N
tt9891806	nm2765435	nm2530716
tt9891810	\N	\N
tt9891812	nm1518236	nm1518236
tt9891814	\N	\N
tt9891818	\N	nm6642452,nm7053951
tt9891820	\N	nm6642452,nm7053951
tt9891822	\N	\N
tt9891824	\N	\N
tt9891826	\N	nm6642452,nm7053951
tt9891828	\N	nm6642452,nm7053951
tt9891830	nm0591499	nm0591499,nm1932042
tt9891832	\N	nm6642452,nm7053951
tt9891834	\N	nm6642452,nm7053951
tt9891836	\N	nm6642452,nm7053951
tt9891838	\N	nm6642452,nm7053951
tt9891840	\N	nm6642452,nm7053951
tt9891842	\N	\N
tt9891844	\N	nm6642452,nm7053951
tt9891846	\N	nm6642452,nm7053951
tt9891848	\N	nm6642452,nm7053951
tt9891850	\N	nm6642452,nm7053951
tt9891852	\N	nm6642452,nm7053951
tt9891854	\N	nm6642452,nm7053951
tt9891858	\N	\N
tt9891860	\N	nm6642452,nm7053951
tt9891862	\N	nm6642452,nm7053951
tt9891864	\N	nm6642452,nm7053951
tt9891866	\N	nm6642452,nm7053951
tt9891868	\N	nm6642452,nm7053951
tt9891870	\N	\N
tt9891872	nm6219954,nm6702194	nm6702194
tt9891874	nm1141136	nm1141136
tt9891876	\N	\N
tt9891878	\N	\N
tt9891880	\N	\N
tt9891882	nm2958752	nm10527604,nm9399967,nm9268300,nm10544266,nm10503938,nm10503933
tt9891884	nm5646734	nm10525088,nm2535350,nm10525087
tt9891886	\N	\N
tt9891888	nm0015846	nm3643860,nm4486392,nm3716161,nm2691201,nm2702814
tt9891892	nm5460792,nm11753712	nm7053950,nm7053951
tt9891894	nm5842181,nm6515289	nm5842181,nm9767942
tt9891896	\N	\N
tt9891898	nm5646734	nm10525088,nm2535350,nm10525087
tt9891902	nm5646734	nm10525088,nm2535350,nm10525087
tt9891904	\N	\N
tt9891908	nm11753712,nm5460792	nm7053950,nm7053951
tt9891910	nm5460792,nm11753712	nm7053950,nm7053951
tt9891912	nm5460792,nm11753712	nm7053950,nm7053951
tt9891914	nm11753712,nm5460792	nm7053950,nm7053951
tt9891916	nm5460792,nm8932411	nm7053950,nm7053951
tt9891918	\N	\N
tt9891920	nm5460792,nm8932411	nm7053950,nm7053951
tt9891922	nm5646734	nm10525088,nm2535350,nm10525087
tt9891924	nm5460792,nm8932411	nm7053950,nm7053951
tt9891926	nm5460792,nm8932411,nm11753712	nm7053950,nm7053951
tt9891928	\N	\N
tt9891930	\N	\N
tt9891932	nm8932411,nm5460792	nm7053950,nm7053951
tt9891934	nm9067644	nm2380492
tt9891936	nm5460792,nm8932411	nm7053950,nm7053951
tt9891938	nm5460792,nm8932411	nm7053950,nm7053951
tt9891940	nm8932411,nm5460792	nm7053950,nm7053951
tt9891942	nm5460792,nm8932411	nm7053950,nm7053951
tt9891944	nm5460792,nm8932411	nm7053950,nm7053951
tt9891946	\N	\N
tt9891948	nm8932411,nm5460792	nm7053950,nm7053951
tt9891950	nm5460792,nm8932411	nm7053950,nm7053951
tt9891952	\N	\N
tt9891956	\N	\N
tt9891958	\N	\N
tt9891960	nm5460792,nm8932411,nm11753712	nm7053950,nm7053951
tt9891962	nm8932411,nm5460792	nm7053950,nm7053951
tt9891964	nm5646734	nm10525088,nm2535350,nm10525087
tt9891966	nm5460792,nm8932411	nm7053950,nm7053951
tt9891968	nm5460792,nm8932411,nm11753712	nm7053950,nm7053951
tt9891970	\N	\N
tt9891972	\N	\N
tt9891974	nm5646734	nm10525088,nm2535350,nm10525087
tt9891976	\N	\N
tt9891980	nm5646734	nm10525088,nm2535350,nm10525087
tt9891982	nm10527475	\N
tt9891984	nm7395965	nm7395965
tt9891986	nm5842181,nm6515289	nm5842181,nm9767942
tt9891988	\N	\N
tt9891990	\N	\N
tt9891992	\N	\N
tt9891994	nm6529131	nm6529131
tt9891996	\N	\N
tt9891998	\N	\N
tt9892000	\N	\N
tt9892004	\N	\N
tt9892006	\N	\N
tt9892008	\N	\N
tt9892010	\N	\N
tt9892012	\N	\N
tt9892014	\N	\N
tt9892018	\N	\N
tt9892020	\N	\N
tt9892022	nm7234922	\N
tt9892024	\N	\N
tt9892026	\N	\N
tt9892028	\N	\N
tt9892032	\N	\N
tt9892034	\N	\N
tt9892036	\N	\N
tt9892038	\N	\N
tt9892042	\N	\N
tt9892044	\N	\N
tt9892046	\N	\N
tt9892048	\N	\N
tt9892050	\N	\N
tt9892052	\N	\N
tt9892054	\N	\N
tt9892056	\N	\N
tt9892058	\N	\N
tt9892062	\N	\N
tt9892064	\N	\N
tt9892066	\N	\N
tt9892070	\N	\N
tt9892072	nm5691999	nm5691999
tt9892074	\N	\N
tt9892076	nm10522341	nm10522341
tt9892080	nm10522341	nm10522341
tt9892082	\N	\N
tt9892084	nm10522341	nm10522341
tt9892086	\N	\N
tt9892088	nm10522341	nm10522341
tt9892090	\N	\N
tt9892094	nm4802773	nm1981893,nm4802773
tt9892096	nm10522341	nm10522341
tt9892098	\N	\N
tt9892100	nm10522341	nm10522341
tt9892102	\N	\N
tt9892104	nm10522341	nm10522341
tt9892106	\N	\N
tt9892110	\N	\N
tt9892112	\N	\N
tt9892114	\N	\N
tt9892118	nm10522341	nm10522341
tt9892120	\N	\N
tt9892122	\N	\N
tt9892126	\N	\N
tt9892128	nm10246642,nm10198413	nm10246642,nm7387351,nm10198413,nm10246652,nm8077198,nm8567385
tt9892130	\N	\N
tt9892134	\N	\N
tt9892136	nm0682874	nm9444103
tt9892138	\N	\N
tt9892140	nm0881386	nm1836368,nm1482639,nm2586970
tt9892142	\N	\N
tt9892144	\N	\N
tt9892146	\N	\N
tt9892148	\N	\N
tt9892152	nm2656809	nm2656809
tt9892154	\N	\N
tt9892156	nm7871097	nm7871097
tt9892158	\N	\N
tt9892162	nm6954017	nm6954017
tt9892164	\N	\N
tt9892166	nm9071874	nm9071874
tt9892168	\N	\N
tt9892170	nm0881386	nm1482639,nm2586970
tt9892172	\N	\N
tt9892174	nm10031813	\N
tt9892176	\N	\N
tt9892178	\N	\N
tt9892180	nm10527671	nm10527671
tt9892182	\N	\N
tt9892184	\N	\N
tt9892186	nm1483828	nm1713930,nm7363678,nm1232752,nm2819695,nm4070004
tt9892188	\N	\N
tt9892190	\N	\N
tt9892194	\N	\N
tt9892196	\N	\N
tt9892198	\N	\N
tt9892200	\N	\N
tt9892202	\N	\N
tt9892204	\N	nm3875978
tt9892206	nm8569440,nm5509725	nm5509725
tt9892208	\N	\N
tt9892210	nm1367142,nm2364125	nm5568543,nm10452129,nm3063447,nm4906473,nm5755233,nm8897800,nm3526812
tt9892212	\N	\N
tt9892214	nm10522294	nm9399970
tt9892216	nm0881386	nm1482639,nm2586970
tt9892220	nm10527687	nm10527687
tt9892222	nm10527696	nm10527697,nm1141205
tt9892224	nm1483828	nm1713930,nm7432606,nm7363678,nm1232752,nm2819695
tt9892232	nm9071874	nm9071874
tt9892234	nm10527701	\N
tt9892238	nm1483828	nm1713930,nm7363678,nm1232752,nm2819695,nm1130644
tt9892240	nm0881386	nm1482639,nm2586970
tt9892242	nm1317297	\N
tt9892244	nm4098234	\N
tt9892248	nm0881386	nm1482639,nm2586970
tt9892250	nm1779811	nm1779811
tt9892252	nm8826777	nm10527709
tt9892254	\N	\N
tt9892256	nm7289280	\N
tt9892260	nm0881386	nm1482639,nm2586970
tt9892262	nm8920577	nm10527722,nm10527723
tt9892264	nm1779811	nm1779811
tt9892268	nm0881386	nm3752043,nm3751744,nm1482639,nm2586970
tt9892272	nm10527724	nm10527724
tt9892276	nm6692299	nm6692299,nm6695124,nm7495675,nm8609378
tt9892280	nm0378743	\N
tt9892282	nm9828035	nm9828035
tt9892284	nm6692299	nm6692299,nm6695124,nm7495675,nm8609378
tt9892286	nm6692299	nm6692299,nm6695124,nm7495675,nm8609378
tt9892288	nm6954017	\N
tt9892290	nm6692299	nm6692299,nm6695124,nm7495675,nm8609378
tt9892292	nm10530041	nm6111926,nm10530041
tt9892296	nm6692299	nm6692299,nm6695124,nm7495675,nm8609378
tt9892298	nm6692299	nm6692299,nm6695124,nm7495675,nm8609378
tt9892302	nm1483828	nm1713930,nm7363678,nm1232752,nm2819695
tt9892304	\N	\N
tt9892312	nm2505826	nm5048932,nm7233570,nm2766776,nm10433922,nm6211350,nm10433923
tt9892314	nm1483828	nm1713930,nm7363678,nm1232752,nm2819695
tt9892316	nm0881386	nm1836368,nm1482639,nm2586970
tt9892318	\N	\N
tt9892322	nm2046924	nm2046924
tt9892324	nm5256835,nm1490804	nm2065330,nm5730942,nm2087483,nm9189616,nm0659615,nm7918434
tt9892326	nm4146658	\N
tt9892328	nm1219597	nm3039051
tt9892332	nm6954017	nm6954017
tt9892336	nm2217525	nm5000607
tt9892338	nm10936533	nm10467776,nm0784296
tt9892344	nm0803966	nm6111926,nm0803966
tt9892346	nm10198419	nm10246652
tt9892348	\N	nm9623405
tt9892352	nm4835724	nm8592323
tt9892356	nm4126500	nm4126500
tt9892358	nm2538871,nm10588597	nm10589827,nm1692389,nm8125761
tt9892360	nm4328948	nm4328948
tt9892362	nm6707334	nm3398821
tt9892364	nm0360991	nm0464175,nm0117679,nm8324962,nm2904821,nm8522074,nm5130852,nm3198398
tt9892366	nm9967372	nm9967372
tt9892368	\N	nm9195493
tt9892370	nm9945060	nm3672716,nm9945060
tt9892372	nm1109836	nm2979060,nm1500652,nm2574574,nm2923457
tt9892374	\N	nm5000607
tt9892378	nm10198413	\N
tt9892382	nm10246642	\N
tt9892384	nm10526888	nm10526888
tt9892386	\N	\N
tt9892388	nm3452373	nm10961140,nm10924416
tt9892390	nm10246642	\N
tt9892392	nm10246642	\N
tt9892394	\N	\N
tt9892396	\N	\N
tt9892398	nm3513211	nm10367733,nm7195251
tt9892404	\N	\N
tt9892406	\N	\N
tt9892408	\N	\N
tt9892410	\N	\N
tt9892412	nm2652025	\N
tt9892414	\N	\N
tt9892416	nm2186703	nm2345785,nm2186703
tt9892418	\N	\N
tt9892420	\N	\N
tt9892422	\N	\N
tt9892424	nm2186703	nm2345785,nm2186703
tt9892426	\N	\N
tt9892428	\N	nm0975322
tt9892430	nm8120565	\N
tt9892432	\N	\N
tt9892434	nm2186703	nm2345785,nm2186703
tt9892436	nm2186703	nm2345785,nm2186703
tt9892438	nm2186703	nm2345785,nm2186703
tt9892440	nm7610740	\N
tt9892442	nm2186703	nm2345785,nm2186703
tt9892444	nm0138357	\N
tt9892446	nm2186703	nm2345785,nm2186703
tt9892448	nm2186703	nm2345785,nm2186703
tt9892450	nm2186703	nm2345785,nm2186703
tt9892452	nm0952222,nm1168198	nm0847758,nm0952222
tt9892454	nm0305710	nm0305710
tt9892456	nm0952222,nm1168198	nm0847758,nm0952222
tt9892458	nm2186703	nm2345785,nm2186703
tt9892460	nm2186703	nm2345785,nm2186703
tt9892464	nm2186703	nm2345785,nm2186703
tt9892466	nm2186703	nm2345785,nm2186703
tt9892468	nm7027520	nm7027520,nm10527853
tt9892470	\N	\N
tt9892472	\N	nm0975322
tt9892474	nm2204800	nm5815714,nm8140486,nm0169225,nm5521826,nm1096778,nm1509315,nm2858338,nm5749637,nm2439643,nm1391635,nm5875387,nm5232541,nm5746989,nm5802357
tt9892476	nm6702778	nm3933291,nm9505769,nm8292902
tt9892480	nm3368289	nm9256349,nm6173779
tt9892482	nm7610740	\N
tt9892484	nm9377204	\N
tt9892490	nm4195982	nm4195982
tt9892492	nm7823520	nm1440793,nm9008618,nm5835181,nm1146739,nm1224195,nm1834344,nm1834350,nm5884431,nm6880503
tt9892494	nm1393412	\N
tt9892496	\N	\N
tt9892502	\N	\N
tt9892506	nm7610740	\N
tt9892530	nm7544476	nm10341345
tt9892532	nm4195982	nm4195982
tt9892534	nm4977063	\N
tt9892536	\N	\N
tt9892538	nm12227011	nm7027520
tt9892540	nm0378586	nm3547504,nm5498716,nm0928492
tt9892542	nm7610740	\N
tt9892544	\N	nm10527912
tt9892546	nm2648766	nm10168583
tt9892548	nm1771598	\N
tt9892552	\N	\N
tt9892554	nm2009123	nm4923722,nm8702541
tt9892556	nm9466299	\N
tt9892558	nm6707817	\N
tt9892562	nm3644221	nm1975005
tt9892566	nm5301329,nm10527915	nm7826943
tt9892568	nm10527916	\N
tt9892570	nm3644221	nm1975005
tt9892572	\N	nm1975005
tt9892574	nm4618399	nm4618399
tt9892576	nm8456323	nm8456323
tt9892578	nm9829784	\N
tt9892580	nm9466299	\N
tt9892582	\N	nm1975005
tt9892584	\N	nm1975005
tt9892586	\N	\N
tt9892588	\N	nm2948360
tt9892590	nm4359177	nm4359177
tt9892592	\N	\N
tt9892594	\N	\N
tt9892596	nm9829784	\N
tt9892598	nm3089710	nm3089710
tt9892600	nm10527930	nm10255054,nm10527933
tt9892602	\N	nm1975005
tt9892604	nm0500139	nm7778750
tt9892608	nm10527934	\N
tt9892610	\N	\N
tt9892612	\N	nm1975005
tt9892614	nm9466299	\N
tt9892616	\N	nm1975005
tt9892618	\N	\N
tt9892620	nm10527940	nm10527940
tt9892622	nm9829784	\N
tt9892626	nm0688697	nm0698294
tt9892628	nm3644221	nm1975005
tt9892630	\N	nm1975005
tt9892632	\N	nm2429688
tt9892634	\N	nm1975005
tt9892636	\N	nm1975005
tt9892640	nm7610740	\N
tt9892642	nm6834275	nm6834275
tt9892648	nm7639176	nm7639176
tt9892650	nm4195982	nm4195982
tt9892652	\N	\N
tt9892654	\N	\N
tt9892658	nm10527963	nm10527963
tt9892660	\N	\N
tt9892662	nm2026334	nm2188890,nm1137030,nm1680383,nm5749637,nm5884431,nm5819495,nm5856818
tt9892664	nm7729424	nm3113057
tt9892666	\N	nm2584451
tt9892668	\N	\N
tt9892670	nm5741914	nm5741914
tt9892672	nm9953592	\N
tt9892674	nm6834275	nm6834275
tt9892676	nm4195982	nm4195982
tt9892678	nm7610740	\N
tt9892680	\N	\N
tt9892684	\N	nm10527912
tt9892686	\N	\N
tt9892690	nm0622051	\N
tt9892692	\N	nm11719373
tt9892694	\N	\N
tt9892698	\N	\N
tt9892700	\N	\N
tt9892704	nm2415415	\N
tt9892706	nm2201053	nm4880897,nm1818265
tt9892708	nm4195982	nm4195982
tt9892710	nm7610740	\N
tt9892712	\N	nm7090528
tt9892714	nm10544615,nm10527996,nm3091876,nm5317100,nm5597396,nm5317117,nm1898504,nm1878198	nm10527996,nm1825493
tt9892716	nm0769117,nm0816879	nm0769117,nm0816879
tt9892718	\N	nm2566601
tt9892720	nm10494482	nm10216646,nm10527998
tt9892722	nm7610740	\N
tt9892726	nm0042745	nm0042745
tt9892728	nm3519831	nm3519831
tt9892730	nm10494482	nm10494482
tt9892732	nm2186703	nm2345785,nm2186703
tt9892734	\N	\N
tt9892736	nm2186703	nm2345785,nm2186703
tt9892738	nm2186703	nm2345785,nm2186703
tt9892740	nm7610740	\N
tt9892742	nm2186703	nm2345785,nm2186703
tt9892744	nm2186703	nm2345785,nm2186703
tt9892746	nm2186703	nm2345785,nm2186703
tt9892748	\N	\N
tt9892750	nm2770527	\N
tt9892752	\N	\N
tt9892754	nm2186703	nm2345785,nm2186703
tt9892756	nm2186703	nm2345785,nm2186703
tt9892758	nm7610740	\N
tt9892762	nm2186703	nm2345785,nm2186703
tt9892764	nm2186703	nm2345785,nm2186703
tt9892766	nm2186703	nm2345785,nm2186703
tt9892768	nm2186703	nm2345785,nm2186703
tt9892770	nm0300898	nm0300898
tt9892772	nm2186703	nm2345785,nm2186703
tt9892774	\N	\N
tt9892776	nm1917634	nm3366463
tt9892778	nm2186703	nm2345785,nm2186703
tt9892780	nm2186703	nm2345785,nm2186703
tt9892782	nm2186703	nm2345785,nm2186703
tt9892784	\N	nm10717380,nm1319622,nm0647222
tt9892786	\N	\N
tt9892788	nm2186703	nm2345785,nm2186703
tt9892790	nm2186703	nm2345785,nm2186703
tt9892792	nm2186703	nm2345785,nm2186703
tt9892794	\N	\N
tt9892796	nm2186703	nm2345785,nm2186703
tt9892800	nm2186703	nm2345785,nm2186703
tt9892802	nm2186703	nm2345785,nm2186703
tt9892804	nm1729152	\N
tt9892806	nm2186703	nm2345785,nm2186703
tt9892808	\N	nm6834275
tt9892810	nm5119445	nm5119445
tt9892812	nm2186703	nm2345785,nm2186703
tt9892814	nm8045947	nm8045947
tt9892818	nm1120907	nm1329517,nm0549373,nm1425908
tt9892820	nm2771996	nm2771996
tt9892822	nm10494482	nm10494482
tt9892824	nm2353217	nm6956505,nm2353217
tt9892826	nm10528074	nm10528085,nm10528084,nm0734472,nm10528086,nm10528083
tt9892828	nm0771730	nm0718107,nm3648268,nm7420087,nm10495193,nm2103526,nm3647496,nm0888593
tt9892830	nm2898526	nm2898526
tt9892832	nm4528693	nm4528693
tt9892834	nm2770404	nm10528095
tt9892836	nm8736494	nm1368919,nm8736494
tt9892838	nm6834275	nm6834275
tt9892840	nm0617064	\N
tt9892842	nm1288838	nm1288838
tt9892844	nm4195982	nm4195982
tt9892848	nm3519831	nm3519831
tt9892852	\N	nm10528103
tt9892854	nm1089963	\N
tt9892856	nm7610740	\N
tt9892858	nm5646734	nm10525088,nm2535350,nm10525087
tt9892860	\N	\N
tt9892862	nm5646734	nm10525088,nm2535350,nm10525087
tt9892866	nm5646734	nm10525088,nm2535350,nm10525087
tt9892870	nm5646734	nm10525088,nm2535350,nm10525087
tt9892872	nm7610740	\N
tt9892874	nm5646734	nm10525088,nm2535350,nm10525087
tt9892876	nm4146658	nm4146658
tt9892878	\N	\N
tt9892880	nm5646734	nm10525088,nm2535350,nm10525087
tt9892882	nm2731976	nm8869948
tt9892884	nm5646734	nm10525088,nm2535350,nm10525087
tt9892886	nm1375320,nm1646363	\N
tt9892888	nm0257872	nm0341311
tt9892890	nm7128040	nm0914844,nm4942394,nm4681482,nm0079926,nm0324516,nm4564238
tt9892892	nm5646734	nm10525088,nm2535350,nm10525087
tt9892894	nm9298298	nm9298298
tt9892896	\N	nm6834275
tt9892898	nm5646734	nm10525088,nm2535350,nm10525087
tt9892900	nm7610740	\N
tt9892902	nm1744654	nm0046350
tt9892904	nm5646734	nm10525088,nm2535350,nm10525087
tt9892906	nm10039053	nm10039053
tt9892908	nm0563848	nm7778750
tt9892910	nm5646734	nm10525088,nm2535350,nm10525087
tt9892912	nm2186703	nm2345785,nm2186703
tt9892914	nm2186703	nm2345785,nm2186703
tt9892916	nm5646734	nm10525088,nm2535350,nm10525087
tt9892918	nm2186703	nm2345785,nm2186703
tt9892920	nm7610740	\N
tt9892922	nm10528151	nm10528151
tt9892924	nm5646734	nm10525088,nm2535350,nm10525087
tt9892928	nm1105736,nm1638108	nm0370475,nm10528271,nm7102586,nm7102585
tt9892930	nm4235523	\N
tt9892932	nm0932551	\N
tt9892934	\N	nm6834275
tt9892936	\N	nm0305781
tt9892938	nm2088689	\N
tt9892940	nm7610740	\N
tt9892942	nm0608435,nm2925188	nm2925188
tt9892944	\N	nm6834275
tt9892946	\N	nm1975005
tt9892948	nm5197366	nm5197366
tt9892950	nm8126395	nm8078786,nm8126395
tt9892952	\N	nm1975005
tt9892954	\N	nm1975005
tt9892958	\N	nm1975005
tt9892960	\N	nm1975005
tt9892962	nm2812855	nm2812855
tt9892964	nm10525539	nm10525539
tt9892966	\N	nm1975005
tt9892970	nm1378741	\N
tt9892972	nm10528205	\N
tt9892974	\N	nm1975005
tt9892976	nm6834275	nm6834275
tt9892978	\N	\N
tt9892980	\N	nm1975005
tt9892982	\N	\N
tt9892984	nm4060477	nm1975005
tt9892986	\N	nm1975005
tt9892988	\N	\N
tt9892990	\N	\N
tt9892992	nm10528222	nm10528222
tt9892994	nm10528224	nm10528224
tt9892996	\N	nm1975005
tt9892998	\N	\N
tt9893000	\N	nm1975005
tt9893002	\N	\N
tt9893006	\N	\N
tt9893008	\N	\N
tt9893010	nm2812855	nm2812855
tt9893012	nm1592574	nm1592574,nm3060149
tt9893014	\N	nm0035568
tt9893016	nm9634173	\N
tt9893018	\N	nm0446995
tt9893020	nm2812855	nm2201984,nm2812855
tt9893022	\N	\N
tt9893026	\N	\N
tt9893028	nm6859912	nm6859912
tt9893030	nm2812855	nm4889679,nm2812855
tt9893032	nm8158082	nm8158082
tt9893034	\N	\N
tt9893036	\N	\N
tt9893038	\N	\N
tt9893040	\N	\N
tt9893042	nm10528261	nm10528261
tt9893044	\N	nm0035568
tt9893046	\N	\N
tt9893052	nm9445832	\N
tt9893054	\N	nm0035568
tt9893058	nm10528273	nm10528278,nm10528273
tt9893060	\N	\N
tt9893062	nm0666021,nm1083538,nm0950426	nm2574321,nm4080988,nm1398919,nm0840839,nm1082971,nm7323848
tt9893064	\N	\N
tt9893066	\N	nm0035568
tt9893068	\N	\N
tt9893070	nm0451325	nm0451325
tt9893076	\N	nm0035568
tt9893078	nm0349702	nm0349702,nm10528291
tt9893082	\N	nm0193045,nm0316884
tt9893084	nm1383301	nm1383301
tt9893086	\N	\N
tt9893088	nm0257872	nm0341311
tt9893090	nm0257872	nm0341311
tt9893092	nm0257872	nm0341311
tt9893094	\N	\N
tt9893096	nm0257872	nm0341311
tt9893098	\N	nm0035568
tt9893100	nm8591491	nm8591491
tt9893102	\N	\N
tt9893104	\N	\N
tt9893106	\N	\N
tt9893108	nm0669120	\N
tt9893110	\N	nm7558095
tt9893112	\N	\N
tt9893114	\N	\N
tt9893116	nm2812855	nm2812855
tt9893118	\N	nm0035568
tt9893122	nm2812855	nm2812855
tt9893124	\N	\N
